date,nyse_advances,nyse_declines,nyse_unchanged,nyse_new_highs,nyse_new_lows,nasdaq_advances,nasdaq_declines,nasdaq_new_highs,nasdaq_new_lows,nyse_ad_line,nyse_down_vol,nyse_trin,nyse_highs_alt
2006-03-20,,,,13.0984,8.59105,,,,,34.4047,,,
2006-03-21,,,,12.7414,8.21576,,,,,34.1536,,,
2006-03-22,,,,12.82,8.10076,,,,,34.4347,,,
2006-03-23,,,,12.852,7.93177,,,,,34.0399,,,
2006-03-24,,,,12.8414,7.95494,,,,,34.632,,,
2006-03-27,,,,12.8472,8.01617,,,,,35.0811,,,
2006-03-28,,,,12.8859,8.01617,,,,,35.0811,,,
2006-03-29,,,,12.8044,8.09293,,,,,35.2422,,,
2006-03-30,,,,12.7928,8.01617,,,,,35.5595,,,
2006-03-31,,,,12.531,8.15426,,,,,35.5058,,,
2006-04-03,,,,12.2061,8.18507,,,,,35.5477,,,
2006-04-04,,,,12.0935,8.20805,,,,,35.7687,,,
2006-04-05,,,,12.2633,8.08521,,,,,36.5463,,,
2006-04-06,,,,12.0935,8.09293,,,,,36.4982,,,
2006-04-07,,,,11.915,7.87044,,,,,36.4745,,,
2006-04-10,,,,11.9364,7.90879,,,,,36.3134,,,
2006-04-11,,,,11.8073,7.61743,,,,,36.2116,,,
2006-04-12,,,,11.9306,7.55591,,,,,36.0616,,,
2006-04-13,,,,11.8258,7.47161,,,,,35.8287,,,
2006-04-17,,,,11.6444,7.31817,,,,,35.7687,,,
2006-04-18,,,,11.9927,7.67113,,,,,36.1934,,,
2006-04-19,,,,12.0411,8.75307,,,,,36.3134,,,
2006-04-20,,,,11.8724,8.64635,,,,,36.3134,,,
2006-04-21,,,,11.9927,9.12864,,,,,36.4863,,,
2006-04-24,,,,11.8684,9.18328,,,,,36.0316,,,
2006-04-25,,,,11.8413,10.033,,,,,36.0316,,,
2006-04-26,,,,11.7424,9.91053,,,,,36.3427,,,
2006-04-27,,,,11.8316,9.94151,,,,,37.593,,,
2006-04-28,,,,11.8724,10.1017,,,,,37.3239,,,
2006-05-01,,,,11.657,10.1705,,,,,37.1921,,,
2006-05-02,,,,11.7365,11.5062,,,,,37.7304,,,
2006-05-03,,,,11.7715,11.3527,,,,,37.683,,,
2006-05-04,,,,11.9733,11.3214,,,,,37.9822,,,
2006-05-05,,,,11.9927,11.184,,,,,38.1377,,,
2006-05-08,,,,11.9819,10.6622,,,,,38.4606,,,
2006-05-09,,,,11.9432,10.8928,,,,,38.4606,,,
2006-05-10,,,,11.9877,10.9626,,,,,38.0714,,,
2006-05-11,,,,11.6444,10.6706,,,,,37.3538,,,
2006-05-12,,,,11.5862,10.0941,,,,,37.7486,,,
2006-05-15,,,,11.6968,9.49604,,,,,37.402,,,
2006-05-16,,,,11.7667,9.98764,,,,,37.4612,,,
2006-05-17,,,,11.6968,9.76541,,,,,37.4494,,,
2006-05-18,,,,11.7841,9.8031,,,,,37.4438,,,
2006-05-19,,,,11.8646,9.9718,,,,,37.4138,,,
2006-05-22,,,,11.819,9.57134,,,,,36.7255,,,
2006-05-23,,,,11.6085,9.38956,,,,,37.3838,,,
2006-05-24,,,,11.8073,9.19834,,,,,36.9529,,,
2006-05-25,,,,12.0935,9.53648,,,,,36.5463,,,
2006-05-26,,,,12.2516,9.69572,,,,,36.4863,,,
2006-05-30,,,,12.3574,9.21247,,,,,35.9305,,,
2006-05-31,,,,13.2051,9.13523,,,,,35.8887,,,
2006-06-01,,,,13.4766,9.54409,,,,,36.5463,,,
2006-06-02,,,,13.5951,9.28124,,,,,36.6063,,,
2006-06-05,,,,12.9704,8.75307,,,,,36.4926,,,
2006-06-06,,,,13.0635,8.49959,,,,,36.5944,,,
2006-06-07,,,,13.1983,8.00853,,,,,36.5763,,,
2006-06-08,,,,13.3137,7.95494,,,,,36.1334,,,
2006-06-09,,,,13.0228,8.46153,,,,,35.8524,,,
2006-06-12,,,,12.8549,7.74008,,,,,35.4396,,,
2006-06-13,,,,12.8414,7.694,,,,,34.9912,,,
2006-06-14,,,,12.9179,7.68639,,,,,34.7819,,,
2006-06-15,,,,13.3166,7.91642,,,,,34.9612,,,
2006-06-16,,,,13.1983,7.70928,,,,,35.0267,,,
2006-06-19,,,,12.9364,7.55591,,,,,34.8175,,,
2006-06-20,,,,12.8248,7.61743,,,,,34.8119,,,
2006-06-21,,,,12.9121,7.7169,,,,,35.3677,,,
2006-06-22,,,,12.8132,7.62505,,,,,35.4458,,,
2006-06-23,,,,12.7153,7.72482,,,,,35.5295,,,
2006-06-26,,,,12.9297,7.9702,,,,,35.3203,,,
2006-06-27,,,,12.7725,7.63259,,,,,33.867,,,
2006-06-28,,,,12.5582,7.7169,,,,,34.4528,,,
2006-06-29,,,,13.08,8.05471,,,,,35.0211,,,
2006-06-30,,,,13.2691,8.24591,,,,,36.2471,,,
2006-07-03,,,,13.3137,8.50655,,,,,36.7855,,,
2006-07-05,,,,13.1469,8.30055,,,,,35.5358,,,
2006-07-06,,,,13.0286,8.30055,,,,,35.8887,,,
2006-07-07,,,,12.7725,8.03916,,,,,35.2903,,,
2006-07-10,,,,12.9849,8.20032,,,,,35.5295,,,
2006-07-11,,,,13.0606,8.40662,,,,,35.7687,,,
2006-07-12,,,,12.8414,8.00853,,,,,35.6488,,,
2006-07-13,,,,12.5542,7.60199,,,,,35.2903,,,
2006-07-14,,,,12.3903,7.21088,,,,,36.0142,,,
2006-07-17,,,,12.1662,7.28746,,,,,36.4263,,,
2006-07-18,,,,12.2477,7.58673,,,,,35.8343,,,
2006-07-19,,,,12.6939,7.93177,,,,,35.9598,,,
2006-07-20,,,,12.3524,7.47161,,,,,35.6788,,,
2006-07-21,,,,12.0935,7.32598,,,,,35.8887,,,
2006-07-24,,,,12.4912,7.51769,,,,,36.1279,,,
2006-07-25,,,,12.5135,7.58673,,,,,36.0979,,,
2006-07-26,,,,12.4737,7.41801,,,,,36.259,,,
2006-07-27,,,,12.4465,7.04217,,,,,36.2471,,,
2006-07-28,,,,12.5716,7.19553,,,,,36.4263,,,
2006-07-31,,,,12.4912,7.39484,,,,,35.9779,,,
2006-08-01,,,,12.4465,7.47161,,,,,35.4696,,,
2006-08-02,,,,12.5484,7.64795,,,,,35.7387,,,
2006-08-03,,,,12.8821,7.7169,,,,,36.056,,,
2006-08-04,,,,12.8859,7.77842,,,,,36.1871,,,
2006-08-07,,,,12.789,7.7477,,,,,35.7387,,,
2006-08-08,,,,12.5862,7.7169,,,,,35.918,,,
2006-08-09,,,,12.596,7.70928,,,,,36.0079,,,
2006-08-10,,,,12.7269,7.70928,,,,,36.1279,,,
2006-08-11,,,,12.6861,7.70173,,,,,36.0379,,,
2006-08-14,,,,12.8132,7.68639,,,,,36.229,,,
2006-08-15,,,,13.0431,7.72482,,,,,36.8036,,,
2006-08-16,,,,13.0635,7.90116,,,,,36.9947,,,
2006-08-17,,,,13.0867,7.9702,,,,,36.2771,,,
2006-08-18,,,,13.1469,7.98565,,,,,36.1035,,,
2006-08-21,,,,13.1061,7.77842,,,,,36.0979,,,
2006-08-22,,,,13.2051,7.86272,,,,,36.0379,,,
2006-08-23,,,,13.0372,7.82458,,,,,35.8887,,,
2006-08-24,,,,13.1565,7.56364,,,,,35.3803,,,
2006-08-25,,,,13.049,7.694,,,,,35.344,,,
2006-08-28,,,,13.2768,7.87044,,,,,35.3622,,,
2006-08-29,,,,13.4766,7.91642,,,,,35.8587,,,
2006-08-30,,,,13.5853,8.00091,,,,,35.7987,,,
2006-08-31,,,,13.4892,7.93949,,,,,35.8587,,,
2006-09-01,,,,13.4233,8.00091,,,,,35.8643,,,
2006-09-05,,,,13.5562,7.96257,,,,,35.8587,,,
2006-09-06,,,,13.4321,7.77842,,,,,35.3803,,,
2006-09-07,,,,13.3438,7.55591,,,,,35.918,,,
2006-09-08,,,,13.4942,7.85528,,,,,35.8343,,,
2006-09-11,,,,13.5523,7.64795,,,,,35.7687,,,
2006-09-12,,,,13.8511,7.70928,,,,,35.8887,,,
2006-09-13,,,,13.8947,7.694,,,,,36.3427,,,
2006-09-14,,,,13.8133,7.87827,,,,,36.3552,,,
2006-09-15,,,,13.9995,7.86272,,,,,36.6955,,,
2006-09-18,,,,13.9422,7.74008,,,,,36.6244,,,
2006-09-19,,,,14.0073,7.77069,,,,,36.3071,,,
2006-09-20,,,,14.1546,7.79377,,,,,36.7855,,,
2006-09-21,,,,14.0353,7.75543,,,,,36.7081,,,
2006-09-22,,,,14.0305,7.63259,,,,,36.4563,,,
2006-09-25,,,,14.1071,7.80913,,,,,36.4863,,,
2006-09-26,,,,14.1402,7.77842,,,,,36.7255,,,
2006-09-27,,,,14.0761,7.77842,,,,,35.7332,,,
2006-09-28,,,,14.0353,7.77842,,,,,35.2004,,,
2006-09-29,,,,13.9772,7.62505,,,,,35.7088,,,
2006-10-02,,,,13.9268,7.60961,,,,,35.6488,,,
2006-10-03,,,,13.8899,7.75543,,,,,35.3977,,,
2006-10-04,,,,14.178,7.77842,,,,,35.2541,,,
2006-10-05,,,,14.4,8.09293,,,,,34.9912,,,
2006-10-06,,,,14.1546,8.07767,,,,,34.9612,,,
2006-10-09,,,,14.337,8.01617,,,,,34.9012,,,
2006-10-10,,,,14.7697,8.13118,,,,,34.752,,,
2006-10-11,,,,15.1479,8.10076,,,,,33.9744,,,
2006-10-12,,,,15.5582,8.03152,,,,,35.5295,,,
2006-10-13,,,,15.5951,8.07767,,,,,35.5895,,,
2006-10-16,,,,15.5175,8.20805,,,,,35.8824,,,
2006-10-17,,,,15.5175,8.29254,,,,,35.9842,,,
2006-10-18,,,,15.4923,8.24591,,,,,35.8761,,,
2006-10-19,,,,15.6417,8.43054,,,,,36.229,,,
2006-10-20,,,,15.5844,8.53764,,,,,36.2471,,,
2006-10-23,,,,15.5951,8.55338,,,,,36.6063,,,
2006-10-24,,,,15.5175,8.33011,,,,,36.4263,,,
2006-10-25,,,,15.5844,8.47641,,,,,36.6662,,,
2006-10-26,,,,15.7754,8.80647,,,,,37.8322,,,
2006-10-27,,,,15.6891,8.49959,,,,,36.9773,,,
2006-10-30,,,,15.9171,8.75307,,,,,37.2464,,,
2006-10-31,,,,15.8589,8.51466,,,,,37.9278,,,
